time,id,x,y,w,h
4904.00 ,4 ,363.27 ,294.59 ,27.17 ,76.45 
4937.00 ,1 ,294.22 ,345.20 ,30.40 ,76.88 
4937.00 ,3 ,451.86 ,341.41 ,24.34 ,64.14 
4937.00 ,4 ,363.33 ,295.96 ,27.24 ,76.08 
4971.00 ,1 ,294.19 ,345.25 ,30.23 ,76.34 
4971.00 ,3 ,452.02 ,345.56 ,23.92 ,71.13 
4971.00 ,4 ,363.51 ,297.37 ,27.87 ,74.51 
5004.00 ,1 ,294.23 ,345.54 ,30.16 ,76.50 
5004.00 ,3 ,453.67 ,347.64 ,25.50 ,71.76 
5004.00 ,4 ,363.42 ,298.24 ,27.79 ,73.55 
5038.00 ,1 ,294.21 ,345.66 ,29.98 ,76.15 
5038.00 ,3 ,455.09 ,347.36 ,25.44 ,69.73 
5038.00 ,4 ,362.95 ,299.16 ,28.18 ,73.94 
5071.00 ,1 ,294.24 ,345.50 ,29.91 ,75.94 
5071.00 ,3 ,455.68 ,347.49 ,25.79 ,69.81 
5071.00 ,4 ,362.72 ,299.43 ,28.29 ,74.06 
5104.00 ,1 ,294.30 ,345.86 ,29.68 ,76.43 
5104.00 ,3 ,457.35 ,351.29 ,23.49 ,71.71 
5104.00 ,4 ,362.55 ,301.82 ,28.50 ,73.97 
5138.00 ,1 ,294.29 ,346.26 ,29.54 ,77.37 
5138.00 ,3 ,458.59 ,353.57 ,23.27 ,69.95 
5138.00 ,4 ,362.37 ,304.57 ,28.50 ,74.28 
5171.00 ,1 ,294.29 ,346.58 ,29.33 ,77.78 
5171.00 ,3 ,459.78 ,354.39 ,22.59 ,72.36 
5171.00 ,4 ,362.25 ,307.35 ,29.19 ,75.14 
5204.00 ,1 ,294.31 ,346.68 ,29.14 ,78.04 
5204.00 ,3 ,461.31 ,355.50 ,22.92 ,72.72 
5204.00 ,4 ,362.31 ,309.62 ,28.63 ,76.66 
5238.00 ,1 ,294.27 ,347.14 ,29.31 ,78.90 
5238.00 ,3 ,462.00 ,355.69 ,21.53 ,71.12 
5238.00 ,4 ,361.83 ,311.84 ,29.89 ,77.59 
5271.00 ,1 ,294.25 ,347.52 ,29.45 ,79.69 
5271.00 ,3 ,462.71 ,355.67 ,20.23 ,68.61 
5271.00 ,4 ,361.91 ,313.69 ,30.13 ,78.25 
5304.00 ,1 ,294.27 ,347.90 ,29.61 ,79.38 
5304.00 ,3 ,463.26 ,353.10 ,21.16 ,59.86 
5304.00 ,4 ,362.30 ,315.04 ,30.10 ,77.68 
5338.00 ,1 ,294.15 ,347.64 ,29.61 ,78.55 
5338.00 ,3 ,463.63 ,354.15 ,21.02 ,60.62 
5338.00 ,4 ,362.43 ,316.59 ,29.66 ,76.51 
5371.00 ,1 ,294.08 ,347.45 ,29.60 ,77.71 
5371.00 ,3 ,464.98 ,356.49 ,18.95 ,60.51 
5371.00 ,4 ,362.58 ,317.86 ,29.57 ,76.80 
5405.00 ,1 ,294.04 ,347.70 ,29.48 ,77.34 
5405.00 ,3 ,465.15 ,358.02 ,18.79 ,61.32 
5405.00 ,4 ,361.85 ,318.89 ,29.11 ,77.30 
5438.00 ,1 ,294.06 ,348.15 ,29.35 ,77.48 
5438.00 ,3 ,463.32 ,363.86 ,21.44 ,66.83 
5438.00 ,4 ,361.64 ,321.44 ,29.05 ,79.30 
5471.00 ,1 ,294.37 ,347.62 ,28.99 ,76.60 
5471.00 ,3 ,463.48 ,368.08 ,20.53 ,69.86 
5471.00 ,4 ,361.90 ,322.85 ,30.30 ,79.44 
5505.00 ,1 ,294.52 ,347.35 ,28.83 ,76.23 
5505.00 ,3 ,463.50 ,369.56 ,20.17 ,71.01 
5505.00 ,4 ,361.85 ,323.38 ,30.23 ,79.48 
5538.00 ,1 ,294.87 ,348.21 ,27.85 ,76.24 
